vendor,quarter,month,day,day_of_week,hour,pickup,dropoff,duration,distance,passengers,payment_type,total
Creative Mobile,3,7,2017-07-27,Thursday,0,249,62,1446.0,6.2,1,Credit card,27.3
VeriFone,2,4,2017-04-30,Sunday,17,236,230,1088.0,2.94,1,Credit card,17.76
VeriFone,4,11,2017-11-05,Sunday,10,166,166,105.0,0.43,1,Credit card,5.4
Creative Mobile,3,9,2017-09-15,Friday,9,148,231,780.0,1.1,1,Credit card,11.75
Creative Mobile,3,9,2017-09-05,Tuesday,19,163,112,970.0000000000001,4.1,1,Credit card,22.49
Creative Mobile,2,6,2017-06-16,Friday,12,237,265,3273.0,18.6,2,Cash,57.8
VeriFone,2,5,2017-05-07,Sunday,16,138,97,2946.0,12.66,1,Credit card,49.3
VeriFone,2,5,2017-05-03,Wednesday,14,234,246,712.0,1.31,2,Cash,9.8
Creative Mobile,4,12,2017-12-18,Monday,11,100,162,687.0,1.2,1,Credit card,11.6
VeriFone,1,3,2017-03-01,Wednesday,21,160,160,273.0,1.23,2,Cash,7.3
Creative Mobile,4,10,2017-10-25,Wednesday,20,234,158,884.0,1.5,2,Credit card,12.39
VeriFone,2,4,2017-04-27,Thursday,23,230,262,915.0000000000001,3.19,1,Cash,14.3
VeriFone,1,2,2017-02-17,Friday,8,141,233,501.00000000000006,1.47,6,Credit card,9.96
VeriFone,4,12,2017-12-16,Saturday,5,262,143,722.0,3.58,5,Cash,13.8
Creative Mobile,1,3,2017-03-21,Tuesday,16,142,48,86.0,0.3,1,No charge,5.3
Creative Mobile,4,10,2017-10-07,Saturday,15,164,142,1145.0,1.9,2,Cash,13.8
Creative Mobile,2,4,2017-04-25,Tuesday,11,163,137,1220.0,2.2,1,Cash,14.3
VeriFone,2,6,2017-06-20,Tuesday,8,100,230,707.0,0.94,3,Credit card,11.16
VeriFone,2,6,2017-06-02,Friday,23,164,79,1048.0,2.68,2,Credit card,17.16
Creative Mobile,4,11,2017-11-15,Wednesday,18,229,162,1168.0,1.1,1,Credit card,15.55
VeriFone,4,10,2017-10-02,Monday,17,125,114,568.0,1.15,1,Credit card,11.76
VeriFone,4,11,2017-11-15,Wednesday,12,114,249,519.0,0.79,1,Credit card,9.75
VeriFone,1,1,2017-01-15,Sunday,17,236,141,302.0,0.83,1,Credit card,7.56
VeriFone,3,9,2017-09-17,Sunday,8,107,113,218.0,0.94,2,Credit card,7.54
Creative Mobile,1,1,2017-01-21,Saturday,1,113,164,558.0,1.8,1,Credit card,11.75
VeriFone,2,4,2017-04-25,Tuesday,19,230,163,73.0,0.39,1,Cash,4.8
Creative Mobile,1,2,2017-02-26,Sunday,12,262,236,266.0,0.7,1,Credit card,6.95
Creative Mobile,1,3,2017-03-30,Thursday,8,107,234,641.0,1.3,2,Cash,8.8
Creative Mobile,2,5,2017-05-23,Tuesday,16,234,186,296.0,0.3,1,Cash,6.8
VeriFone,4,11,2017-11-02,Thursday,6,239,140,723.0,2.23,1,Credit card,13.56
Creative Mobile,2,6,2017-06-10,Saturday,17,100,144,1117.0,2.7,1,Credit card,17.75
Creative Mobile,3,9,2017-09-05,Tuesday,6,238,237,582.0,2.8,1,Cash,11.3
Creative Mobile,4,11,2017-11-07,Tuesday,20,143,143,104.0,0.4,1,Credit card,6.0
Creative Mobile,1,1,2017-01-30,Monday,18,143,48,802.0,1.6,1,Credit card,14.15
Creative Mobile,3,9,2017-09-08,Friday,11,163,234,1369.0,2.2,3,Cash,15.3
VeriFone,2,6,2017-06-16,Friday,18,261,132,3022.0,27.97,1,Cash,63.06
Creative Mobile,1,3,2017-03-10,Friday,18,158,89,1690.0,9.8,2,Credit card,44.79
VeriFone,2,4,2017-04-19,Wednesday,13,100,161,845.0,1.38,1,Cash,10.3
Creative Mobile,2,5,2017-05-11,Thursday,14,164,100,615.0,0.6,1,Cash,8.8
VeriFone,3,9,2017-09-10,Sunday,2,230,244,886.0,7.73,2,Cash,24.3
Creative Mobile,3,8,2017-08-23,Wednesday,15,186,230,775.0,1.0,1,Credit card,11.75
Creative Mobile,1,2,2017-02-14,Tuesday,19,148,4,591.0,1.0,1,Cash,9.8
VeriFone,4,12,2017-12-03,Sunday,21,107,230,674.0,1.85,3,Cash,10.8
VeriFone,4,11,2017-11-07,Tuesday,21,113,107,266.0,0.56,1,Credit card,7.56
VeriFone,4,10,2017-10-05,Thursday,19,161,234,917.0000000000001,2.05,1,Credit card,15.36
Creative Mobile,2,4,2017-04-01,Saturday,21,4,224,298.0,0.7,1,Cash,6.8
Creative Mobile,4,11,2017-11-02,Thursday,13,237,161,1109.0,1.2,1,Credit card,14.75
Creative Mobile,1,3,2017-03-07,Tuesday,0,161,161,5.0,0.0,1,Cash,3.8
Creative Mobile,4,12,2017-12-28,Thursday,8,68,230,541.0,1.9,1,Credit card,10.3
VeriFone,3,8,2017-08-29,Tuesday,23,161,234,402.0,1.53,1,Credit card,9.96
VeriFone,1,1,2017-01-24,Tuesday,22,140,48,801.0,2.56,3,Credit card,15.36
VeriFone,1,2,2017-02-03,Friday,5,239,230,338.0,2.05,1,Credit card,10.8
Creative Mobile,1,1,2017-01-11,Wednesday,23,162,43,516.0,1.2,1,Credit card,10.55
Creative Mobile,4,11,2017-11-20,Monday,21,141,143,651.0,1.8,1,Credit card,12.95
VeriFone,3,7,2017-07-11,Tuesday,9,161,230,654.0,0.71,3,Credit card,10.56
Creative Mobile,3,7,2017-07-02,Sunday,0,48,87,1397.0,5.4,2,Credit card,25.55
VeriFone,4,10,2017-10-20,Friday,21,141,90,1695.0,3.84,1,Cash,20.8
VeriFone,1,1,2017-01-21,Saturday,10,68,137,497.00000000000006,1.82,5,Credit card,10.56
VeriFone,2,4,2017-04-13,Thursday,14,137,140,752.0,2.06,1,Credit card,13.56
VeriFone,2,5,2017-05-19,Friday,17,162,170,171.0,0.54,2,Credit card,6.67
Creative Mobile,2,5,2017-05-06,Saturday,23,48,162,405.0,1.1,3,Credit card,9.75
Creative Mobile,2,6,2017-06-09,Friday,9,100,246,457.00000000000006,1.1,1,Credit card,8.75
VeriFone,1,2,2017-02-22,Wednesday,20,246,141,1288.0,3.6,1,Credit card,19.3
VeriFone,2,4,2017-04-25,Tuesday,4,234,170,133.0,0.61,2,Credit card,6.3
VeriFone,4,12,2017-12-07,Thursday,15,236,75,687.0,1.52,1,Cash,9.3
VeriFone,3,9,2017-09-03,Sunday,18,100,164,569.0,0.77,1,Credit card,9.96
VeriFone,1,2,2017-02-19,Sunday,21,79,144,359.0,0.65,1,Credit card,8.16
VeriFone,2,6,2017-06-23,Friday,7,262,74,813.0,2.78,2,Cash,12.3
VeriFone,2,6,2017-06-23,Friday,17,142,239,394.0,0.76,2,Cash,7.8
VeriFone,4,10,2017-10-27,Friday,12,233,48,1332.0,1.48,1,Credit card,17.76
Creative Mobile,2,6,2017-06-04,Sunday,15,90,186,482.00000000000006,0.6,1,Credit card,8.75
VeriFone,4,10,2017-10-18,Wednesday,0,145,179,425.0,1.95,1,Credit card,10.3
Creative Mobile,2,5,2017-05-26,Friday,19,170,100,732.0,1.3,2,Credit card,11.8
VeriFone,2,4,2017-04-28,Friday,2,113,79,234.00000000000003,0.64,2,Credit card,6.8
VeriFone,1,1,2017-01-25,Wednesday,9,142,163,457.00000000000006,0.67,1,Credit card,8.76
VeriFone,3,9,2017-09-19,Tuesday,7,238,75,744.0,1.23,5,Credit card,11.76
Creative Mobile,4,11,2017-11-30,Thursday,20,162,88,1142.0,6.0,1,Credit card,26.16
VeriFone,4,11,2017-11-21,Tuesday,20,90,114,571.0,1.4,1,Credit card,11.16
VeriFone,1,2,2017-02-03,Friday,16,113,79,368.0,0.66,4,Credit card,8.3
VeriFone,1,3,2017-03-10,Friday,22,249,163,1070.0,2.69,1,Credit card,17.16
Creative Mobile,3,7,2017-07-01,Saturday,23,148,4,403.0,1.0,1,Cash,7.8
VeriFone,1,1,2017-01-03,Tuesday,14,236,74,598.0,1.75,1,Credit card,11.16
VeriFone,3,7,2017-07-16,Sunday,21,230,163,282.0,0.79,1,Cash,6.3
Creative Mobile,2,4,2017-04-26,Wednesday,7,87,100,1339.0,3.4,1,Cash,17.3
VeriFone,4,10,2017-10-20,Friday,8,151,43,251.00000000000003,0.81,6,Credit card,7.8
VeriFone,4,10,2017-10-27,Friday,17,13,186,1435.0,3.53,5,Credit card,23.16
Creative Mobile,3,9,2017-09-29,Friday,6,65,138,1320.0,10.5,1,Credit card,38.7
Creative Mobile,2,4,2017-04-11,Tuesday,19,231,234,689.0,2.3,1,Credit card,14.75
Creative Mobile,1,1,2017-01-16,Monday,13,141,229,255.00000000000003,0.5,2,Cash,5.3
VeriFone,4,11,2017-11-20,Monday,6,107,231,561.0,2.3,1,Credit card,11.3
VeriFone,1,3,2017-03-24,Friday,12,249,234,705.0,0.84,1,Cash,9.3
Creative Mobile,3,9,2017-09-28,Thursday,19,231,158,254.00000000000003,1.0,1,Credit card,8.75
VeriFone,1,1,2017-01-15,Sunday,7,79,79,40.0,0.3,1,Cash,3.8
Creative Mobile,2,4,2017-04-01,Saturday,12,163,170,372.0,1.1,1,Cash,6.8
Creative Mobile,2,6,2017-06-05,Monday,20,138,230,1342.0,10.6,1,Cash,38.06
Creative Mobile,3,7,2017-07-14,Friday,0,148,158,798.0,2.1,1,Cash,11.8
VeriFone,2,6,2017-06-25,Sunday,18,42,142,1005.0000000000001,3.65,1,Credit card,19.56
VeriFone,1,1,2017-01-22,Sunday,18,211,79,778.0,1.66,2,Cash,10.3
VeriFone,1,3,2017-03-06,Monday,8,137,140,1040.0,2.47,2,Credit card,16.56
Creative Mobile,1,2,2017-02-16,Thursday,22,264,264,1052.0,4.4,1,Credit card,19.0
Creative Mobile,3,8,2017-08-08,Tuesday,21,75,24,522.0,1.9,1,Credit card,11.3
VeriFone,2,6,2017-06-28,Wednesday,8,237,137,1513.0,2.7,1,Cash,17.8
VeriFone,3,9,2017-09-15,Friday,8,236,162,1353.0,2.15,1,Credit card,17.3
VeriFone,2,4,2017-04-29,Saturday,14,161,249,692.0,2.58,1,Credit card,12.8
VeriFone,2,4,2017-04-03,Monday,16,229,229,310.0,0.83,1,Cash,7.3
Creative Mobile,4,11,2017-11-08,Wednesday,15,142,90,1504.0,3.5,2,Credit card,21.35
Creative Mobile,1,2,2017-02-25,Saturday,0,114,142,1559.0,3.7,1,Credit card,21.3
VeriFone,2,6,2017-06-08,Thursday,17,138,129,3200.0,11.83,2,Credit card,52.88
VeriFone,4,10,2017-10-06,Friday,1,43,142,143.0,0.61,1,Cash,5.3
Creative Mobile,4,11,2017-11-19,Sunday,21,125,148,366.0,0.9,1,Credit card,8.8
VeriFone,3,8,2017-08-29,Tuesday,12,249,234,351.0,0.8,1,Cash,6.3
Creative Mobile,1,1,2017-01-19,Thursday,19,246,186,363.0,0.9,1,Cash,7.8
Creative Mobile,2,4,2017-04-27,Thursday,13,13,236,2012.0000000000002,8.2,1,Credit card,34.55
VeriFone,2,5,2017-05-03,Wednesday,9,249,162,1825.0,3.32,1,Credit card,22.8
Creative Mobile,3,7,2017-07-25,Tuesday,23,79,181,1439.0,4.2,1,Credit card,23.15
VeriFone,2,6,2017-06-29,Thursday,1,186,68,826.0,0.52,1,Credit card,13.5
VeriFone,4,10,2017-10-19,Thursday,21,142,161,878.0,1.76,5,Cash,11.8
VeriFone,3,9,2017-09-26,Tuesday,21,144,249,405.0,1.47,1,Cash,8.3
VeriFone,2,5,2017-05-06,Saturday,16,162,236,264.0,0.93,4,Credit card,7.3
Creative Mobile,4,11,2017-11-27,Monday,11,238,166,569.0,1.6,1,Cash,9.3
VeriFone,4,10,2017-10-21,Saturday,11,87,231,375.0,0.79,1,Credit card,8.16
Creative Mobile,4,10,2017-10-29,Sunday,9,158,142,682.0,4.0,1,Credit card,17.15
VeriFone,4,10,2017-10-25,Wednesday,11,237,237,509.00000000000006,0.58,1,Cash,7.8
VeriFone,1,1,2017-01-18,Wednesday,20,249,161,1213.0,2.64,2,Credit card,19.89
VeriFone,3,9,2017-09-07,Thursday,20,237,236,433.0,1.21,2,Cash,7.8
VeriFone,3,7,2017-07-23,Sunday,2,158,114,548.0,1.37,1,Credit card,11.16
VeriFone,1,1,2017-01-28,Saturday,17,230,239,511.00000000000006,1.61,1,Credit card,9.8
Creative Mobile,4,12,2017-12-15,Friday,20,230,163,227.0,0.6,1,Cash,5.8
Creative Mobile,3,8,2017-08-02,Wednesday,7,141,239,687.0,2.0,1,Cash,10.3
VeriFone,3,9,2017-09-22,Friday,22,107,66,1482.0,3.58,1,Credit card,21.36
VeriFone,2,5,2017-05-28,Sunday,3,229,142,756.0,2.63,1,Cash,12.8
VeriFone,1,2,2017-02-26,Sunday,14,237,263,357.0,1.06,2,Credit card,8.16
Creative Mobile,4,10,2017-10-11,Wednesday,17,262,249,1943.0000000000002,5.2,1,Cash,23.3
VeriFone,3,7,2017-07-12,Wednesday,11,170,163,857.0,1.23,6,Credit card,13.5
VeriFone,1,3,2017-03-12,Sunday,14,162,68,831.0,1.73,1,Cash,11.3
Creative Mobile,4,12,2017-12-20,Wednesday,20,230,230,52.0,0.2,1,Credit card,5.55
Creative Mobile,3,8,2017-08-09,Wednesday,16,170,140,1136.0,1.7,2,Credit card,17.75
VeriFone,4,10,2017-10-17,Tuesday,2,249,25,663.0,4.01,1,Credit card,18.36
Creative Mobile,4,11,2017-11-14,Tuesday,10,230,164,655.0,0.9,1,Credit card,10.55
Creative Mobile,2,4,2017-04-26,Wednesday,17,230,137,1063.0,1.6,1,Credit card,16.55
Creative Mobile,4,12,2017-12-22,Friday,13,238,141,656.0,2.1,2,Cash,10.3
Creative Mobile,1,2,2017-02-01,Wednesday,12,144,90,1095.0,1.8,2,Credit card,16.6
VeriFone,1,1,2017-01-11,Wednesday,10,158,170,1228.0,2.2,5,Cash,14.3
VeriFone,2,5,2017-05-27,Saturday,19,236,263,184.0,0.81,2,Credit card,6.3
Creative Mobile,2,4,2017-04-19,Wednesday,19,170,144,1369.0,3.0,1,Credit card,20.15
VeriFone,1,3,2017-03-20,Monday,21,107,127,1539.0,11.57,1,Credit card,41.76
Creative Mobile,4,10,2017-10-31,Tuesday,10,141,236,470.00000000000006,1.1,1,Cash,7.8
VeriFone,3,7,2017-07-07,Friday,8,239,239,365.0,0.9,2,Credit card,8.16
VeriFone,3,9,2017-09-06,Wednesday,11,90,164,681.0,0.98,1,Credit card,11.16
Creative Mobile,2,4,2017-04-29,Saturday,13,232,43,2139.0,7.7,1,Credit card,32.3
Creative Mobile,1,3,2017-03-15,Wednesday,0,100,166,1049.0,4.6,1,Credit card,19.0
VeriFone,3,9,2017-09-21,Thursday,17,113,164,477.00000000000006,1.25,6,Cash,9.3
VeriFone,4,11,2017-11-30,Thursday,7,151,75,374.0,1.16,1,Credit card,8.3
VeriFone,2,4,2017-04-27,Thursday,9,142,142,112.0,0.41,3,Cash,4.3
Creative Mobile,1,3,2017-03-18,Saturday,9,68,249,385.0,1.2,1,Credit card,9.45
Creative Mobile,4,12,2017-12-21,Thursday,23,249,68,472.00000000000006,1.2,1,Cash,8.3
Creative Mobile,3,7,2017-07-12,Wednesday,6,262,162,510.00000000000006,2.0,1,Cash,9.8
Creative Mobile,3,8,2017-08-12,Saturday,1,158,79,510.00000000000006,1.6,1,Credit card,9.3
Creative Mobile,2,6,2017-06-04,Sunday,22,249,13,494.00000000000006,2.3,1,Credit card,14.0
VeriFone,3,9,2017-09-14,Thursday,14,100,161,467.00000000000006,0.41,5,Credit card,8.3
Creative Mobile,4,10,2017-10-30,Monday,8,107,229,502.00000000000006,2.1,1,Credit card,11.15
VeriFone,4,12,2017-12-14,Thursday,16,113,234,326.0,0.66,1,Cash,6.8
Creative Mobile,1,3,2017-03-30,Thursday,12,264,264,692.0,1.4,1,Cash,9.8
VeriFone,3,7,2017-07-27,Thursday,19,264,264,952.0000000000001,1.84,1,Credit card,15.36
VeriFone,4,12,2017-12-01,Friday,0,243,235,428.0,1.43,2,Cash,8.8
VeriFone,4,11,2017-11-26,Sunday,17,246,50,514.0,0.93,1,Credit card,8.8
Creative Mobile,2,6,2017-06-15,Thursday,19,13,88,224.0,1.5,1,Credit card,9.0
VeriFone,3,9,2017-09-03,Sunday,2,148,166,1547.0,7.86,5,Credit card,31.56
VeriFone,4,11,2017-11-29,Wednesday,19,132,229,2089.0,17.19,6,Cash,57.3
VeriFone,2,6,2017-06-14,Wednesday,19,140,234,982.0000000000001,3.72,1,Credit card,19.0
Creative Mobile,4,11,2017-11-14,Tuesday,19,143,236,847.0,2.7,2,Credit card,13.8
Creative Mobile,1,3,2017-03-21,Tuesday,9,237,161,913.0000000000001,0.9,1,Cash,10.8
Creative Mobile,1,3,2017-03-17,Friday,0,88,260,2284.0,9.2,1,Credit card,39.35
Creative Mobile,4,10,2017-10-25,Wednesday,23,158,249,346.0,0.7,3,Credit card,8.15
VeriFone,3,8,2017-08-04,Friday,14,13,161,2617.0,4.51,4,Cash,28.8
Creative Mobile,3,8,2017-08-20,Sunday,11,229,237,272.0,0.6,1,Credit card,6.95
Creative Mobile,2,5,2017-05-28,Sunday,16,48,68,542.0,2.0,3,Cash,9.3
Creative Mobile,1,3,2017-03-01,Wednesday,8,79,237,1271.0,4.0,1,Credit card,22.25
VeriFone,3,9,2017-09-28,Thursday,9,68,237,2328.0,2.73,1,Credit card,28.56
Creative Mobile,3,8,2017-08-08,Tuesday,16,170,68,913.0000000000001,1.9,1,Credit card,15.35
Creative Mobile,2,5,2017-05-10,Wednesday,11,229,170,286.0,1.0,1,Credit card,7.8
Creative Mobile,4,10,2017-10-17,Tuesday,6,264,137,409.0,1.4,1,Credit card,7.8
Creative Mobile,2,6,2017-06-22,Thursday,12,186,186,391.0,0.2,1,Cash,6.3
Creative Mobile,1,3,2017-03-02,Thursday,12,114,107,591.0,1.6,1,Cash,9.3
Creative Mobile,3,9,2017-09-19,Tuesday,10,164,161,1988.0000000000002,0.9,1,Cash,19.8
Creative Mobile,2,5,2017-05-04,Thursday,15,186,239,1547.0,3.6,3,Cash,18.3
VeriFone,3,7,2017-07-11,Tuesday,0,87,189,948.0000000000001,4.3,6,Credit card,20.16
VeriFone,1,1,2017-01-11,Wednesday,14,232,90,704.0,2.19,1,Credit card,12.96
Creative Mobile,4,10,2017-10-09,Monday,19,142,43,365.0,0.8,2,Credit card,8.05
Creative Mobile,2,5,2017-05-21,Sunday,15,233,229,1131.0,0.9,1,Credit card,15.36
VeriFone,4,11,2017-11-15,Wednesday,21,79,68,891.0,2.16,5,Credit card,14.3
Creative Mobile,3,8,2017-08-07,Monday,18,79,249,531.0,1.0,1,Credit card,10.3
Creative Mobile,2,6,2017-06-15,Thursday,16,239,142,132.0,0.7,1,Cash,5.8
VeriFone,1,3,2017-03-19,Sunday,19,230,144,1864.0000000000002,3.94,2,Credit card,25.56
VeriFone,1,1,2017-01-01,Sunday,21,170,141,302.0,1.83,1,Credit card,10.3
VeriFone,4,11,2017-11-30,Thursday,14,264,264,518.0,1.38,1,Credit card,10.56
Creative Mobile,1,2,2017-02-14,Tuesday,20,93,90,1778.0,9.7,1,Credit card,70.34
VeriFone,1,2,2017-02-10,Friday,18,163,262,1098.0,2.31,1,Credit card,14.8
VeriFone,4,11,2017-11-07,Tuesday,22,164,68,467.00000000000006,1.4,2,Cash,8.3
VeriFone,2,6,2017-06-06,Tuesday,7,238,236,1032.0,1.89,1,Credit card,14.14
VeriFone,2,4,2017-04-20,Thursday,19,237,142,493.00000000000006,1.08,1,Cash,8.8
Creative Mobile,4,12,2017-12-07,Thursday,3,164,161,444.0,1.8,1,Cash,8.8
VeriFone,4,12,2017-12-07,Thursday,13,170,162,529.0,0.91,1,Credit card,9.36
VeriFone,2,5,2017-05-17,Wednesday,15,163,237,113.0,0.62,1,Credit card,7.3
VeriFone,2,6,2017-06-03,Saturday,1,113,79,843.0,1.24,3,Credit card,14.12
Creative Mobile,2,5,2017-05-19,Friday,19,166,151,429.0,1.1,2,Credit card,11.0
VeriFone,1,3,2017-03-11,Saturday,0,144,211,369.0,0.61,1,Credit card,7.8
VeriFone,1,1,2017-01-03,Tuesday,13,138,186,2905.0,9.31,1,Credit card,44.16
VeriFone,1,2,2017-02-25,Saturday,18,107,230,674.0,1.8,1,Credit card,12.36
VeriFone,1,3,2017-03-30,Thursday,10,239,143,262.0,0.74,1,Cash,5.8
VeriFone,3,7,2017-07-18,Tuesday,19,50,166,757.0,4.41,1,Credit card,20.16
VeriFone,4,10,2017-10-23,Monday,9,186,48,221.0,0.44,2,Credit card,6.3
VeriFone,3,7,2017-07-20,Thursday,20,162,230,323.0,0.63,1,Credit card,7.56
VeriFone,4,12,2017-12-01,Friday,11,162,230,980.0000000000001,0.86,1,Credit card,14.12
VeriFone,2,4,2017-04-30,Sunday,10,151,163,755.0,2.63,1,Credit card,13.56
Creative Mobile,2,5,2017-05-04,Thursday,17,79,163,1225.0,2.5,2,Cash,16.3
VeriFone,2,6,2017-06-23,Friday,8,137,223,1893.0000000000002,7.03,1,Credit card,32.76
VeriFone,1,1,2017-01-04,Wednesday,7,239,261,1335.0,6.22,1,Credit card,26.16
Creative Mobile,4,12,2017-12-30,Saturday,13,230,261,1383.0,5.3,2,Cash,21.3
VeriFone,3,9,2017-09-29,Friday,15,239,142,480.00000000000006,1.05,2,Cash,7.8
VeriFone,1,1,2017-01-05,Thursday,21,164,143,987.0000000000001,2.91,2,Credit card,17.16
Creative Mobile,1,3,2017-03-30,Thursday,15,263,229,881.0,2.2,1,Credit card,14.8
Creative Mobile,2,4,2017-04-19,Wednesday,5,170,229,192.0,1.3,1,Cash,6.3
Creative Mobile,2,4,2017-04-17,Monday,22,158,211,367.0,1.2,1,Credit card,9.75
VeriFone,3,9,2017-09-16,Saturday,16,231,249,293.0,1.54,1,Credit card,8.76
Creative Mobile,3,7,2017-07-25,Tuesday,17,238,236,512.0,1.5,1,Cash,9.8
VeriFone,2,4,2017-04-19,Wednesday,23,211,229,880.0,3.28,6,Credit card,16.3
Creative Mobile,1,3,2017-03-21,Tuesday,15,162,143,1241.0,2.3,1,Cash,15.3
VeriFone,2,6,2017-06-02,Friday,16,186,144,976.0000000000001,2.13,1,Credit card,16.56
Creative Mobile,3,8,2017-08-21,Monday,20,68,170,443.0,1.0,2,Credit card,9.35
Creative Mobile,4,12,2017-12-27,Wednesday,12,186,170,985.0000000000001,1.2,2,Cash,11.8
Creative Mobile,3,8,2017-08-08,Tuesday,22,186,236,929.0000000000001,3.6,1,Credit card,18.3
VeriFone,1,3,2017-03-30,Thursday,11,239,100,1056.0,2.57,1,Credit card,17.16
VeriFone,2,6,2017-06-23,Friday,6,229,137,247.00000000000003,1.29,1,Credit card,8.16
VeriFone,3,9,2017-09-03,Sunday,22,264,239,3.0,0.0,1,Credit card,72.96
VeriFone,2,6,2017-06-03,Saturday,22,138,166,2395.0,8.26,1,Credit card,47.47
Creative Mobile,1,1,2017-01-05,Thursday,20,48,127,919.0000000000001,8.9,1,Credit card,34.8
VeriFone,4,10,2017-10-30,Monday,21,142,237,575.0,1.34,1,Credit card,9.3
VeriFone,2,6,2017-06-11,Sunday,17,161,161,410.0,0.2,1,Cash,6.3
VeriFone,2,4,2017-04-16,Sunday,9,138,255,858.0,7.37,3,Cash,23.3
VeriFone,3,7,2017-07-27,Thursday,19,234,170,963.0000000000001,1.93,1,Credit card,15.0
Creative Mobile,3,7,2017-07-28,Friday,11,79,249,507.00000000000006,0.9,1,Cash,8.3
Creative Mobile,2,6,2017-06-20,Tuesday,18,164,230,1466.0,1.3,1,Credit card,21.8
VeriFone,2,4,2017-04-14,Friday,18,229,229,65.0,0.33,6,Credit card,6.0
VeriFone,2,5,2017-05-22,Monday,19,234,211,678.0,1.6,1,Credit card,11.3
Creative Mobile,1,3,2017-03-18,Saturday,20,100,100,585.0,0.4,1,No charge,8.3
VeriFone,2,5,2017-05-09,Tuesday,9,163,148,2197.0,3.95,1,Credit card,28.56
Creative Mobile,3,7,2017-07-23,Sunday,22,68,225,3472.0,8.5,1,Credit card,43.3
Creative Mobile,1,3,2017-03-30,Thursday,19,249,232,820.0,1.6,1,Credit card,14.16
VeriFone,3,8,2017-08-21,Monday,23,186,148,710.0,2.5,1,Cash,11.8
VeriFone,2,6,2017-06-11,Sunday,1,7,129,475.00000000000006,2.7,1,Credit card,13.5
VeriFone,4,10,2017-10-04,Wednesday,17,162,43,1599.0,2.57,1,Credit card,22.88
Creative Mobile,2,5,2017-05-31,Wednesday,10,170,68,984.0000000000001,1.8,1,Credit card,15.95
VeriFone,1,2,2017-02-08,Wednesday,8,163,161,502.00000000000006,0.97,1,Credit card,9.36
VeriFone,3,8,2017-08-26,Saturday,13,234,158,586.0,1.27,1,Credit card,9.8
VeriFone,4,11,2017-11-08,Wednesday,7,68,230,621.0,1.87,1,Credit card,11.76
VeriFone,1,2,2017-02-03,Friday,15,161,141,676.0,1.83,1,Credit card,12.36
Creative Mobile,2,6,2017-06-21,Wednesday,16,230,230,19.0,0.0,2,Credit card,83.0
Creative Mobile,2,6,2017-06-23,Friday,14,234,170,924.0000000000001,1.3,1,Cash,11.3
VeriFone,2,4,2017-04-23,Sunday,0,80,255,434.0,1.17,5,Cash,8.3
VeriFone,3,7,2017-07-12,Wednesday,16,93,230,2207.0,9.34,6,Cash,63.06
VeriFone,2,6,2017-06-27,Tuesday,14,161,233,542.0,1.43,1,Credit card,11.0
Creative Mobile,2,6,2017-06-18,Sunday,21,79,186,838.0,2.7,1,Cash,13.3
Creative Mobile,3,8,2017-08-30,Wednesday,11,48,162,1880.0000000000002,3.5,1,Credit card,25.3
Creative Mobile,1,1,2017-01-14,Saturday,19,137,164,675.0,0.8,1,Credit card,11.15
VeriFone,1,2,2017-02-11,Saturday,19,163,230,874.0,1.09,1,Credit card,10.8
VeriFone,2,4,2017-04-12,Wednesday,14,114,148,650.0,1.13,5,Cash,9.3
VeriFone,4,10,2017-10-27,Friday,19,143,238,315.0,0.98,2,Credit card,8.76
VeriFone,2,5,2017-05-31,Wednesday,23,50,186,703.0,2.04,1,Credit card,13.56
VeriFone,2,4,2017-04-01,Saturday,16,263,141,565.0,1.23,1,Credit card,10.56
VeriFone,3,7,2017-07-01,Saturday,19,238,263,425.0,1.5,1,Cash,8.3
Creative Mobile,3,9,2017-09-27,Wednesday,19,261,114,641.0,1.5,1,Credit card,11.5
VeriFone,2,6,2017-06-29,Thursday,8,79,162,670.0,1.79,6,Credit card,12.36
VeriFone,4,10,2017-10-22,Sunday,12,142,132,3326.0,17.22,1,Credit card,66.0
Creative Mobile,3,9,2017-09-21,Thursday,16,234,170,1755.0,0.8,1,Credit card,24.4
VeriFone,4,12,2017-12-23,Saturday,5,75,88,930.0000000000001,8.14,1,Credit card,25.8
Creative Mobile,3,8,2017-08-18,Friday,11,138,138,185.0,1.0,1,Cash,5.8
VeriFone,1,2,2017-02-18,Saturday,12,229,234,964.0000000000001,1.87,1,Credit card,11.8
Creative Mobile,4,12,2017-12-21,Thursday,11,132,130,1423.0,6.2,1,Cash,22.8
Creative Mobile,4,12,2017-12-09,Saturday,17,161,186,793.0,1.2,1,Credit card,12.25
VeriFone,4,11,2017-11-16,Thursday,23,79,114,328.0,0.66,3,Credit card,8.16
VeriFone,3,8,2017-08-29,Tuesday,19,246,50,283.0,1.07,1,Cash,7.3
VeriFone,4,12,2017-12-16,Saturday,3,97,90,706.0,4.42,1,Credit card,20.54
VeriFone,4,12,2017-12-10,Sunday,23,186,166,1111.0,4.14,1,Credit card,21.96
Creative Mobile,2,4,2017-04-08,Saturday,19,162,239,973.0000000000001,3.0,1,Credit card,16.55
Creative Mobile,4,12,2017-12-18,Monday,9,262,140,330.0,0.7,1,Cash,6.3
